id,domain,title,visits,rating,type,flag
u-f.ru,u-f.ru/,Южный Федеральный - общественно-политический информационный портал,10399,90,private,s
gorodvo.ru,gorodvo.ru/,ГородВо - современный портал Вологды,10298,82,private,
astrakhan.ru,www.astrakhan.ru/,Астрахань.Ру,10160,97,private,
sibdepo.ru,sibdepo.ru/,&quot;Сибдепо&quot;,10122,97,public,s
kp/kpall/reg/kpryazan,ryazan.kp.ru,&quot;Комсомольская правда&quot; Рязань,10077,97,public,s
yamal-media.ru,yamal-media.ru/,Ямал-Медиа,10066,86,private,
na-zemle-salavata.com,na-zemle-salavata.com/,На земле Салавата,9962,99,public,s
infopro54.ru,infopro54.ru/,"Infopro54.ru - важные новости Сибири, Новосибирска новосибирской области",9919,95,public,s
ug.tsargrad.tv,ug.tsargrad.tv/,Царьград Юг,9884,92,private,s
ivanovonews.ru,ivanovonews.ru/,Ivanovonews.ru - все новости региона,9854,90,public,s
