system_id,domain,title,visits,rating,parse_date
bgoperator.ru,www.bgoperator.ru/,Библио-Глобус туры отели билеты по лучшим ценам,44823,91,2026-02-18
hsdigital/rn/smi/72,72.ru,72.RU – главные новости Тюмени. Shkulev Holding,44786,90,2026-02-18
aftershock.news,aftershock.news/,AfterShock,44663,80,2026-02-18
RBCRU/UFA,ufa.rbc.ru,РБК - РосБизнесКонсалтинг - Уфа,44402,96,2026-02-18
russian.rt.com/sport,russian.rt.com/sport/,Спорт - RT на русском,44199,89,2026-02-18
kp/kpall/novoross,kp.ru,KP.RU: Комсомольская правда в Новороccии,44031,78,2026-02-18
aif.ru/health,aif.ru/health/,АИФ Здоровье,43707,81,2026-02-18
Russian_Spring,rusvesna.su,Русская Весна,43685,60,2026-02-18
irk.ru,www.irk.ru/,Irk.Ru - Твой Иркутск,43528,92,2026-02-18
1001goroskop.ru,1001goroskop.ru/,*1001 ГОРОСКОП* от ведущих астрологов,43421,70,2026-02-18
infostart.ru,infostart.ru/,"Отчеты и обработки для 1С 7.7, 1C 8.x. - Инфостарт.Ру",43387,86,2026-02-18
newsnn.ru,newsnn.ru/,Newsnn.ru - 1MI,42582,94,2026-02-18
hsdigital/rn/smi/63,63.ru,63.RU – главные новости Самары. Shkulev Holding,42562,93,2026-02-18
hsdigital/rn/smi/59,59.ru,59.RU – главные новости Перми. Shkulev Holding,42489,90,2026-02-18
skisport.ru,www.skisport.ru/,"Журнал &quot;Лыжный спорт&quot;. лыжи, биатлон, бег, лыжероллеры",42472,81,2026-02-18
kachestvorb.ru,kachestvorb.ru/,Информационно-аналитический портал &quot;Открытое качество&quot;,42424,60,2026-02-18
Allboxing,allboxing.ru,AllBoxing.Ru - Все новости бокса и ММА,42423,51,2026-02-18
bobsoccer,bobsoccer.ru,"Bobsoccer.ru - эксперты о футболе, все новости футбола",42312,82,2026-02-18
lookmart,www.lookmart.ru/,Я Покупаю - Россия,42167,83,2026-02-18
ovgorskiy.ru,ovgorskiy.ru/,Главная страница OVGorskiy,42114,55,2026-02-18
kulturologia.ru,kulturologia.ru/,Культурология.РФ,41785,73,2026-02-18
kp/kpall/otdyhrussia,www.kp.ru/russia,Отдых в России,41681,88,2026-02-18
2gis/online/ru/krasnoyarsk,2gis.ru,"Карта Красноярска: улицы, дома и организации города — 2ГИС",41667,94,2026-02-18
er-all,er.ru,Единая Россия,41159,92,2026-02-18
progorod58.ru,progorod58.ru/,Pro Город Пенза,41154,80,2026-02-18
uznayvse.ru,uznayvse.ru/,Портал всех новостей &quot;Узнай всЁ&quot;,40830,73,2026-02-18
nn.hh.ru,nn.hh.ru/,"HeadHunter::Нижний Новгород - лучшие вакансии, успешные кандидаты",40639,95,2026-02-18
hsdigital/wn/psychologies,psychologies.ru,Официальный сайт журнала Psychologies,40455,79,2026-02-18
dota2.ru,dota2.ru/,Dota 2,40382,72,2026-02-18
vzsar.ru,vzsar.ru/,Взгляд. Саратов,39939,93,2026-02-18
